n_leaves,n_colors,n_edges,max_cross_pairs,non_edges,non_edge_ratio,mean_out_degree,std_out_degree,max_out_degree,mean_in_degree,std_in_degree,max_in_degree,n_isolated_leaves,max_color_class_size,mean_color_class_size,std_color_class_size,n_singleton_colors,n_reciprocal_edges,reciprocal_ratio,density,reciprocity,n_nontrivial_scc,n_base_cherry_nodes,n_extension_edges,n_chain_nodes,has_chain,max_chain_length,extension_edges_per_cherry,n_false_positive_edges,n_false_negative_edges,num_species,num_hybridizations,mismatch
8,6,50,50,0,0.0,6.25,0.9682458365518543,7,6.25,0.9682458365518543,7,0,3,1.3333333333333333,0.74535599249993,5,25,0.5,0.8928571428571429,1.0,1,25,0,0,False,0,0.0,0,0,6,3,False
14,7,128,162,34,0.20987654320987653,9.142857142857142,2.1333120747240115,13,9.142857142857142,3.136356914300021,13,0,3,2.0,0.9258200997725514,3,53,0.4140625,0.7032967032967034,0.828125,1,81,34,2,True,2,0.41975308641975306,0,0,7,4,False
19,8,251,308,57,0.18506493506493507,13.210526315789474,2.8391797808970898,18,13.210526315789474,4.033790790812573,18,0,4,2.375,0.9921567416492215,2,107,0.4262948207171315,0.7339181286549707,0.852589641434263,1,154,57,6,True,2,0.37012987012987014,0,0,8,2,False
37,10,839,1226,387,0.31566068515497553,22.675675675675677,2.68181114733101,28,22.675675675675677,4.5443999042126935,28,0,5,3.7,0.7810249675906654,0,394,0.4696066746126341,0.6298798798798799,0.9392133492252682,1,613,387,9,True,2,0.6313213703099511,0,0,10,1,False
7,6,40,40,0,0.0,5.714285714285714,0.4517539514526256,6,5.714285714285714,0.4517539514526256,6,0,2,1.1666666666666667,0.3726779962499649,5,20,0.5,0.9523809523809523,1.0,1,20,0,0,False,0,0.0,0,0,6,6,False
8,6,52,52,0,0.0,6.5,0.5,7,6.5,0.5,7,0,2,1.3333333333333333,0.47140452079103173,4,26,0.5,0.9285714285714286,1.0,1,26,0,0,False,0,0.0,0,0,6,4,False
3,3,6,6,0,0.0,2.0,0.0,2,2.0,0.0,2,0,1,1.0,0.0,3,3,0.5,1.0,1.0,1,3,0,0,False,0,0.0,0,0,3,6,False
6,4,22,26,4,0.15384615384615385,3.6666666666666665,0.7453559924999298,5,3.6666666666666665,1.3743685418725538,5,0,2,1.5,0.5,2,9,0.4090909090909091,0.7333333333333333,0.8181818181818182,1,13,4,0,False,1,0.3076923076923077,0,0,4,3,False
12,10,125,128,3,0.0234375,10.416666666666666,0.759202798262025,11,10.416666666666666,1.114924013354971,11,0,2,1.2,0.4,8,61,0.488,0.946969696969697,0.976,1,64,3,0,False,1,0.046875,0,0,10,4,False
12,9,124,124,0,0.0,10.333333333333334,0.8498365855987975,11,10.333333333333334,0.8498365855987975,11,0,3,1.3333333333333333,0.6666666666666666,7,62,0.5,0.9393939393939394,1.0,1,62,0,0,False,0,0.0,0,0,9,2,False
12,10,122,126,4,0.031746031746031744,10.166666666666666,0.9860132971832694,11,10.166666666666666,1.51840559652405,11,0,3,1.2,0.6000000000000001,9,59,0.48360655737704916,0.9242424242424242,0.9672131147540983,1,63,4,0,False,1,0.06349206349206349,0,0,10,4,False
10,3,28,58,30,0.5172413793103449,2.8,2.08806130178211,9,2.8,2.08806130178211,9,0,5,3.3333333333333335,1.699673171197595,1,14,0.5,0.3111111111111111,1.0,1,29,30,0,False,1,1.0344827586206897,0,0,3,1,False
27,10,409,588,179,0.304421768707483,15.148148148148149,3.950655864009153,22,15.148148148148149,7.245451721233038,26,0,9,2.7,2.6095976701399777,6,171,0.4180929095354523,0.5826210826210826,0.8361858190709046,1,294,179,9,True,3,0.608843537414966,2,0,10,4,True
16,9,162,214,52,0.24299065420560748,10.125,1.4947825928876748,12,10.125,5.134138194478212,15,0,5,1.7777777777777777,1.227262335243029,5,66,0.4074074074074074,0.675,0.8148148148148148,1,107,52,8,True,2,0.48598130841121495,0,0,9,4,False
35,8,490,1058,568,0.5368620037807184,14.0,2.1908902300206643,19,14.0,10.687776729917754,31,0,7,4.375,1.3169567191065923,0,145,0.29591836734693877,0.4117647058823529,0.5918367346938775,2,529,568,60,True,3,1.0737240075614367,0,0,8,8,False
10,5,52,76,24,0.3157894736842105,5.2,1.8330302779823362,8,5.2,2.638181191654584,9,0,3,2.0,0.8944271909999159,2,20,0.38461538461538464,0.5777777777777777,0.7692307692307693,1,38,24,4,True,2,0.631578947368421,0,0,5,2,False
4,2,4,6,2,0.3333333333333333,1.0,0.0,1,1.0,1.224744871391589,3,0,3,2.0,1.0,1,1,0.25,0.3333333333333333,0.5,1,3,2,0,False,1,0.6666666666666666,0,0,2,2,False
14,9,156,170,14,0.08235294117647059,11.142857142857142,0.9147320339189784,13,11.142857142857142,1.921946292439102,13,0,3,1.5555555555555556,0.6849348892187752,5,74,0.47435897435897434,0.8571428571428571,0.9487179487179487,1,85,14,0,False,1,0.16470588235294117,0,0,9,4,False
7,6,38,40,2,0.05,5.428571428571429,0.4948716593053935,6,5.428571428571429,1.0497813183356477,6,0,2,1.1666666666666667,0.3726779962499649,5,18,0.47368421052631576,0.9047619047619048,0.9473684210526315,1,20,2,0,False,1,0.1,0,0,6,7,False
26,7,324,570,246,0.43157894736842106,12.461538461538462,4.226571343943432,19,12.461538461538462,3.754287489819209,18,0,6,3.7142857142857144,1.1605769149479943,0,159,0.49074074074074076,0.49846153846153846,0.9814814814814815,1,285,246,3,True,2,0.8631578947368421,0,0,7,1,False
17,9,192,252,60,0.23809523809523808,11.294117647058824,1.871291025951396,16,11.294117647058824,4.1126019512820085,16,0,3,1.8888888888888888,0.7370277311900889,3,86,0.4479166666666667,0.7058823529411765,0.8958333333333334,1,126,60,0,False,1,0.47619047619047616,0,0,9,3,False
9,8,70,70,0,0.0,7.777777777777778,0.41573970964154905,8,7.777777777777778,0.41573970964154905,8,0,2,1.125,0.33071891388307384,7,35,0.5,0.9722222222222222,1.0,1,35,0,0,False,0,0.0,0,0,8,2,False
8,8,56,56,0,0.0,7.0,0.0,7,7.0,0.0,7,0,1,1.0,0.0,8,28,0.5,1.0,1.0,1,28,0,0,False,0,0.0,0,0,8,6,False
8,3,28,40,12,0.3,3.5,1.118033988749895,5,3.5,1.118033988749895,5,0,4,2.6666666666666665,0.9428090415820634,0,14,0.5,0.5,1.0,1,20,12,0,False,1,0.6,0,0,3,1,False
3,3,6,6,0,0.0,2.0,0.0,2,2.0,0.0,2,0,1,1.0,0.0,3,3,0.5,1.0,1.0,1,3,0,0,False,0,0.0,0,0,3,2,False
10,7,75,78,3,0.038461538461538464,7.5,1.5,9,7.5,1.857417562100671,9,0,4,1.4285714285714286,1.0497813183356477,6,36,0.48,0.8333333333333334,0.96,1,39,3,0,False,1,0.07692307692307693,0,0,7,2,False
13,9,138,144,6,0.041666666666666664,10.615384615384615,1.2113858267710478,12,10.615384615384615,1.942973990817706,12,0,3,1.4444444444444444,0.8314794192830981,7,66,0.4782608695652174,0.8846153846153846,0.9565217391304348,1,72,6,0,False,1,0.08333333333333333,0,0,9,5,False
